openrouter_id,vendor
deepseek/deepseek-v4-flash,DeepSeek
xiaomi/mimo-v2.5,Xiaomi · MiMo
minimax/minimax-m3,MiniMax
z-ai/glm-5.2,Z.ai · GLM
deepseek/deepseek-v4-pro,DeepSeek
tencent/hy3,
tencent/hy3-preview,
stepfun/step-3.7-flash,
nvidia/nemotron-3-ultra-550b-a55b,
google/gemini-3-flash-preview,
google/gemini-2.5-flash-lite,
google/gemini-2.5-flash,
xiaomi/mimo-v2.5-pro,Xiaomi · MiMo
poolside/laguna-m.1,
openai/gpt-oss-120b,
google/gemini-3.1-flash-lite,
openai/gpt-4o-mini,
nvidia/nemotron-3-super-120b-a12b,
deepseek/deepseek-v3.2,DeepSeek
google/gemma-4-26b-a4b-it,
google/gemma-4-31b-it,
z-ai/glm-5,Z.ai · GLM
mistralai/mistral-nemo,
qwen/qwen3.7-plus,Qwen
google/gemini-3.1-flash-lite-preview,
openai/gpt-5.4-nano,
openai/gpt-oss-20b,
openai/gpt-5-mini,
cohere/north-mini-code,
poolside/laguna-xs-2.1,
minimax/minimax-m2.7,MiniMax
moonshotai/kimi-k2.5,Moonshot · Kimi
x-ai/grok-4.3,
qwen/qwen3-235b-a22b-2507,Qwen
z-ai/glm-4.7-flash,Z.ai · GLM
z-ai/glm-4.7,Z.ai · GLM
anthropic/claude-opus-4.8,Anthropic · Claude
moonshotai/kimi-k2.7-code,Moonshot · Kimi
moonshotai/kimi-k3,Moonshot · Kimi
